Date,User_ID,Session_ID,Source,Medium,Country,Device,Page,Page_Order,Engagement_Time,Converted,User_Type
2026-01-01,U33,S100,Social,Instagram,Australia,Mobile,Contact,1,209,0,New
2026-01-01,U33,S100,Social,Instagram,Australia,Mobile,Blog,2,193,0,New
2026-01-01,U33,S100,Social,Instagram,Australia,Mobile,Home,3,219,0,New
2026-01-01,U33,S100,Social,Instagram,Australia,Mobile,Checkout,4,74,0,New
2026-01-01,U332,S1039,Organic,Google,India,Mobile,Home,1,210,0,New
2026-01-01,U347,S1096,Email,Newsletter,Canada,Mobile,Product,1,160,0,New
2026-01-01,U347,S1096,Email,Newsletter,Canada,Mobile,Pricing,2,225,0,New
2026-01-01,U347,S1096,Email,Newsletter,Canada,Mobile,Blog,3,109,0,New
2026-01-01,U416,S1307,Organic,Google,UK,Mobile,Pricing,1,286,0,New
2026-01-01,U416,S1307,Organic,Google,UK,Mobile,Home,2,151,0,New
2026-01-01,U416,S1308,Organic,Google,India,Desktop,Blog,1,175,0,Returning
2026-01-01,U416,S1308,Organic,Google,India,Desktop,Pricing,2,169,0,Returning
2026-01-01,U416,S1308,Organic,Google,India,Desktop,Product,3,168,0,Returning
2026-01-01,U418,S1314,Organic,Google,USA,Mobile,Blog,1,255,0,New
2026-01-01,U418,S1314,Organic,Google,USA,Mobile,Home,2,213,0,New
2026-01-01,U418,S1314,Organic,Google,USA,Mobile,Product,3,211,0,New
2026-01-01,U418,S1314,Organic,Google,USA,Mobile,Contact,4,22,0,New
2026-01-01,U423,S1329,Direct,Website,UK,Desktop,Blog,1,151,0,New
2026-01-01,U423,S1329,Direct,Website,UK,Desktop,Product,2,140,0,New
2026-01-01,U433,S1360,Referral,PartnerSite,UK,Mobile,Blog,1,96,0,New
2026-01-01,U453,S1436,Organic,Google,Australia,Mobile,Product,1,210,0,New
2026-01-01,U453,S1436,Organic,Google,Australia,Mobile,Pricing,2,135,0,New
2026-01-01,U453,S1436,Organic,Google,Australia,Mobile,Blog,3,300,0,New
2026-01-01,U453,S1436,Organic,Google,Australia,Mobile,Home,4,258,0,New
2026-01-01,U46,S146,Organic,Google,India,Mobile,Product,1,78,0,New
2026-01-01,U509,S1603,Organic,Google,India,Desktop,Home,1,193,0,New
2026-01-01,U509,S1603,Organic,Google,India,Desktop,Blog,2,73,0,New
2026-01-01,U509,S1603,Organic,Google,India,Desktop,Contact,3,120,0,New
2026-01-01,U509,S1603,Organic,Google,India,Desktop,Pricing,4,226,0,New
2026-01-01,U586,S1831,Referral,PartnerSite,USA,Desktop,Checkout,1,197,0,New
2026-01-01,U586,S1831,Referral,PartnerSite,USA,Desktop,Pricing,2,194,0,New
2026-01-01,U586,S1831,Referral,PartnerSite,USA,Desktop,Contact,3,130,0,New
2026-01-01,U586,S1831,Referral,PartnerSite,USA,Desktop,Blog,4,129,0,New
2026-01-01,U631,S1976,Organic,Google,UK,Mobile,Checkout,1,265,0,New
2026-01-01,U631,S1976,Organic,Google,UK,Mobile,Blog,2,271,0,New
